# col1   col2      col3     col4      col5     col6      col7     col8      col9     col10     col11    col12     col13    col14     col15    col16     col17    col18     col19    col20     col21    col22     col23    col24     col25    col26   col27   col28   col29   col30   col31   col32   col33   col34   col35   col36   col37    col38     col39    col40     col41    col42     col43    col44     col45    col46     col47    col48     col49    col50     col51    col52     col53    col54     col55    col56     col57    col58     col59    col60     col61    col62   col63   col64   col65   col66     col67    col68      col69    col70              col71                 col72              col73                 col74              col75                 col76              col77                 col78   col79   col80   col81   col82   col83   col84   col85   col86   col87   col88   col89   col90   col91   col92   col93   col94   col95   col96              col97      col98              col99      col164   col161    col162      col163     col100           
  21     21.6272   0.0116   21.2338   0.0113   21.6145   0.0114   21.6815   0.011    21.6027   0.0113   -99.9     -99.9    21.1582   0.01     21.4604   0.0121   21.4549   0.0249   20.871    0.1215   21.0007   0.0188   21.2236   0.019    -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.038    21.7143   0.0137   21.6548   0.0134   21.7237   0.0126   21.8722   0.0152   21.7335   0.0126   21.9393   0.0157   21.6584   0.0122   21.1526   0.0104   21.2874   0.0111   21.3826   0.0109   21.3652   0.0111   21.1993   0.0107   -99.9   -99.9   -99.9   -99.9   21.2941   0.0141   -99.8315   0.0102   20.7597268801687   0.00652844903906503   20.43057409357     0.00799297008558734   19.8766859119756   0.0203052127551359    19.3857569163959   0.0295772820597529    -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.0              -99.0      23.7925086946873   0.060623   1.85     1007423   150.21466   2.204285   281746633134047  
  23     26.0164   0.1086   24.6657   0.0633   24.8115   0.0642   25.1177   0.0652   24.4499   0.0514   24.0362   0.0393   23.4978   0.0486   22.1058   0.0166   20.8686   0.0155   21.1383   0.1695   20.851    0.0163   23.9868   0.2128   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.3001   25.6493   0.1976   25.3166   0.163    24.1547   0.0456   25.0659   0.1706   25.2279   0.0939   24.5636   0.0898   24.5164   0.0636   24.0853   0.0727   24.1033   0.0614   24.0847   0.0573   23.9953   0.0578   23.6957   0.0497   -99.9   -99.9   -99.9   -99.9   24.0003   0.1146   -99.8315   0.0491   20.5006537588552   0.0057347264318382    20.0827170454172   0.00654748860213459   19.4474096173668   0.0146743156570653    18.4832250859291   0.0146318141939415    -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.0              -99.0      25.0               -1.0       2.941    997226    150.22403   2.270799   281746633134079  
  31     21.4489   0.012    20.6739   0.0098   20.6497   0.0081   21.0264   0.0094   20.7378   0.0085   -99.9     -99.9    20.5112   0.0080   20.6184   0.0083   20.485    0.0135   20.4434   0.0927   20.3665   0.0124   20.7447   0.0194   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.0302   21.0636   0.0099   20.8883   0.0091   20.9211   0.0092   20.929    0.0094   20.8948   0.0091   20.6572   0.0081   20.7149   0.0084   20.4243   0.0072   20.6908   0.0082   20.7241   0.0085   20.8026   0.0089   20.7316   0.0085   -99.9   -99.9   -99.9   -99.9   20.8434   0.0106   -99.8315   0.0091   20.0610771448258   0.0040810806898213    19.8349392499952   0.00542198621040871   19.2725424229636   0.0123958993460171    18.8766297504778   0.0215137512795329    -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.0              -99.0      -99.0              -99.0      2.615    978155    150.27214   2.230096   271656423391     
  36     21.2391   0.0102   20.7776   0.0097   20.6974   0.0079   20.9869   0.0089   20.7599   0.0083   -99.9     -99.9    20.3861   0.0071   20.2915   0.0068   20.101    0.0085   19.8045   0.048    19.7511   0.0075   20.4872   0.0105   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.0263   21.2196   0.0108   21.0009   0.0097   20.9139   0.0093   20.9269   0.0094   20.7375   0.0084   20.9244   0.0093   20.78     0.0086   20.4786   0.0075   20.5915   0.0079   20.5967   0.0080   20.5279   0.0077   20.4357   0.0073   -99.9   -99.9   -99.9   -99.9   20.6107   0.0090   -99.8315   0.0073   19.0238816290952   0.00220536343608272   18.5875147347269   0.00234253791283948   18.1647946361862   0.00503326782424894   17.8192785286737   0.00720217108851441   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   23.4991567836483   0.061343   22.6187798714483   0.02391    1.825    1017264   150.15838   2.139603   422484121489375  
  40     22.2365   0.0136   21.5957   0.0119   21.809    0.0111   22.1321   0.014    21.7402   0.0108   -99.9     -99.9    21.5859   0.0111   21.0743   0.01     20.4314   0.0108   20.3595   0.0707   20.2575   0.0105   21.5294   0.0173   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.038    22.383    0.0201   22.1116   0.0173   21.8068   0.0127   22.2127   0.0185   22.0783   0.0144   22.0937   0.0173   21.7951   0.0127   21.3205   0.0116   21.2082   0.0107   21.604    0.0119   21.8384   0.0138   21.4843   0.0126   -99.9   -99.9   -99.9   -99.9   21.1553   0.0134   -99.8315   0.0125   19.6956251160978   0.00316241935366717   19.3352554878      0.00389721267669874   19.1475994166027   0.0108164440394773    18.7884154823922   0.0191096610152999    -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.0              -99.0      22.1865317103203   0.022094   1.504    1009041   150.19975   2.190866   422484121489375  
  41     25.8581   0.0962   25.4858   0.0975   25.4488   0.0916   25.7291   0.1228   25.4565   0.1      24.7928   0.0632   24.3746   0.1061   23.5459   0.0463   22.9667   0.0856   23.5842   1.4022   22.3581   0.0614   -99.9     -99.9    -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.498    26.018    0.2698   25.8949   0.255    25.7483   0.2349   25.5903   0.2518   25.4435   0.1659   25.8887   0.2805   25.4602   0.188    24.99     0.1346   25.001    0.1233   24.79     0.143    24.703    0.1862   24.5387   0.0967   -99.9   -99.9   -99.9   -99.9   25.0378   0.2954   -99.8315   0.1688   21.9816593836866   0.0178588779910349    21.6611639062609   0.0226462253872366    21.5379663279917   0.0912045969284506    20.6720926411126   0.094233804283625     -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.0              -99.0      25.0               -1.0       1.813    766637    150.17022   2.121434   281746633132031  
  43     24.875    0.06     23.5248   0.036    23.2789   0.0278   23.7354   0.0301   23.1308   0.0256   22.9008   0.0228   22.8061   0.0335   22.4948   0.0246   21.9785   0.0358   22.6254   0.7228   21.8859   0.0396   22.8882   0.0779   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.1233   23.9603   0.0573   24.1104   0.0647   23.0967   0.0308   23.2242   0.0334   23.7087   0.0431   23.3695   0.0392   22.8674   0.028    22.9427   0.0288   22.9785   0.0294   23.1346   0.0353   22.9018   0.0319   22.8276   0.0294   -99.9   -99.9   -99.9   -99.9   22.9444   0.0506   -99.8315   0.0292   21.4585661614454   0.0114967936881829    21.1409002023257   0.0151180911208426    20.7483338337961   0.0447970499267586    20.2961086290634   0.0688559475490835    -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.0              -99.0      -99.0              -99.0      3.01     773132    150.18068   2.075977   271656423423     
  45     26.5571   0.1547   24.7225   0.0642   24.8265   0.0639   25.2143   0.0701   24.6853   0.0576   24.4981   0.0527   24.4475   0.1132   23.7644   0.0481   23.7494   0.1723   22.5259   0.6206   23.0881   0.1214   24.4029   0.2925   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.5726   26.0253   0.2715   24.8976   0.1087   24.1795   0.0491   25.2228   0.1499   25.2554   0.0989   25.0005   0.1246   24.8004   0.0829   24.4466   0.0844   24.4623   0.0786   24.5375   0.0807   24.9969   0.1322   24.4266   0.0867   -99.9   -99.9   -99.9   -99.9   24.4196   0.1609   -99.8315   0.0943   22.4752558778624   0.0297599088221791    22.0839636166387   0.0323918836354008    22.6820662276745   0.272804554223774     21.793553595182    0.254673084972001     -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.0              -99.0      -99.0              -99.0      2.91     768974    150.19428   2.106767   271656423423     
  47     20.0051   0.0057   19.7676   0.0061   19.7372   0.0050   19.9684   0.0053   19.883    0.0054   -99.9     -99.9    19.5059   0.0047   19.6069   0.0049   19.571    0.0060   19.0756   0.0215   19.0545   0.0047   19.7457   0.0063   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.0163   20.1865   0.0066   20.1405   0.0064   19.6788   0.0051   19.7935   0.0054   19.9802   0.0059   19.9458   0.0058   19.8808   0.0056   19.6936   0.0051   19.749    0.0053   19.7992   0.0054   19.7411   0.0053   19.5753   0.0048   -99.9   -99.9   -99.9   -99.9   19.8209   0.0059   -99.8315   0.0048   19.2015595427155   0.00240651968553695   18.8458538354162   0.00247044886206498   18.3485824139746   0.00568773913560788   17.8580631432436   0.0074433899621484    -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.0              -99.0      23.0516615546983   0.048151   2.161    1018336   150.19897   2.132537   422484121489375  
  50     20.8487   0.0088   20.3395   0.0082   20.0475   0.0060   20.4781   0.0073   19.8104   0.0054   -99.9     -99.9    19.3131   0.0044   19.2681   0.0042   19.0428   0.0043   18.8132   0.0228   18.7814   0.0039   19.4363   0.0060   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.0145   20.5269   0.0077   20.5473   0.0077   20.4818   0.0073   20.3476   0.0070   20.2281   0.0064   20.1218   0.0063   19.7138   0.0051   19.4743   0.0046   19.5573   0.0048   19.5337   0.0047   19.5296   0.0047   19.3969   0.0044   -99.9   -99.9   -99.9   -99.9   19.5725   0.0051   -99.8315   0.0045   18.1997363446713   0.00171455927627097   17.6685170525006   0.00152254004624011   17.1810042613425   0.00296543854004414   16.7314315694774   0.00313647041251276   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.0              -99.0      21.7027590004253   0.018336   1.237    771981    150.20796   2.083337   281746633134047  
